text,risk_category
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
Standard Loan Policy: Minimum credit score is 600.,Standard
Standard Loan Policy: Max DTI is 45%.,Standard
High Risk Policy: Minimum credit score is 700.,High Risk
High Risk Policy: Requires manual underwriting.,High Risk
Jumbo Loan Policy: Minimum loan amount is $700k.,Jumbo
